Time_Point_(Week#),Media_type,Flow_type,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
1,Std,100,1,0.280,0.320,0.326,"327,680"
1,Std,150,1,0.230,0.280,0.560,"286,720"
2,Std,0,1,0.140,0.480,0.627,"491,520"
2,Std,50,1,0.290,0.520,0.690,"532,480"
2,Std,100,1,0.280,0.450,0.381,"460,800"
2,Std,150,1,0.230,0.420,0.733,"430,080"
3,Std,0,1,0.240,0.490,0.442,"501,760"
3,Std,50,1,0.460,0.660,0.600,"675,840"
3,Std,100,1,0.360,0.520,0.477,"532,480"
3,Std,150,1,0.270,0.480,0.581,"491,520"
4,Std,0,1,0.300,0.400,0.576,"409,600"
4,Std,50,1,0.620,0.480,0.957,"491,520"
4,Std,100,1,0.560,0.620,1.169,"634,880"
4,Std,150,1,0.550,0.600,0.508,"614,400"
5,Std,0,1,0.220,0.320,0.239,"327,680"
5,Std,50,1,0.270,0.340,0.526,"348,160"
5,Std,100,1,0.500,0.630,0.735,"645,120"
5,Std,150,1,0.530,0.480,0.405,"491,520"
6,Std,0,1,0.140,0.180,0.188,"184,320"
6,Std,50,1,0.240,0.240,0.428,"245,760"
6,Std,100,1,0.320,0.580,0.694,"593,920"
6,Std,150,1,0.480,0.370,0.580,"378,880"
7,Std,0,1,0.140,0.100,0.091,"102,400"
7,Std,50,1,0.300,0.180,0.392,"184,320"
7,Std,100,1,0.100,0.380,0.480,"389,120"
7,Std,150,1,0.480,0.160,0.540,"163,840"
1,Std,0,0,0.160,0.180,0.140,"184,320"
1,Std,50,0,0.280,0.320,0.690,"327,680"
1,Std,100,0,0.330,0.280,0.231,"286,720"
1,Std,150,0,0.140,0.250,0.654,"256,000"
2,Std,0,0,0.250,0.300,0.587,"307,200"
2,Std,50,0,0.480,0.420,0.964,"430,080"
2,Std,100,0,0.420,0.390,0.353,"399,360"
2,Std,150,0,0.430,0.370,0.679,"378,880"
3,Std,0,0,0.260,0.280,0.425,"286,720"
3,Std,50,0,0.500,0.530,0.737,"542,720"
3,Std,100,0,0.420,0.390,0.284,"399,360"
3,Std,150,0,0.430,0.370,0.495,"378,880"
4,Std,0,0,0.250,0.230,0.292,"235,520"
4,Std,50,0,0.640,0.680,0.931,"696,320"
4,Std,100,0,0.520,0.550,1.037,"563,200"
4,Std,150,0,0.530,0.570,0.414,"583,680"
5,Std,0,0,0.210,0.270,0.108,"276,480"
5,Std,50,0,0.530,0.320,0.644,"327,680"
5,Std,100,0,0.300,0.580,0.646,"593,920"
5,Std,150,0,0.300,0.330,0.368,"337,920"
6,Std,0,0,0.160,0.170,0.119,"174,080"
6,Std,50,0,0.300,0.320,0.670,"327,680"
6,Std,100,0,0.400,0.320,0.831,"327,680"
6,Std,150,0,0.300,0.450,0.566,"460,800"
7,Std,0,0,0.100,0.120,0.002,"122,880"
7,Std,50,0,0.130,0.200,0.460,"204,800"
7,Std,100,0,0.300,0.350,0.896,"358,400"
7,Std,150,0,0.300,0.350,0.483,"358,400"
1,Std,0,1,0.220,0.080,0.065,"81,920"
1,Std,50,1,0.360,0.280,0.654,"286,720"
1,Std,100,1,0.370,0.100,0.182,"102,400"
1,Std,150,1,0.330,0.140,0.616,"143,360"
2,Std,0,1,0.220,0.177,0.446,"181,187"
2,Std,50,1,0.370,0.198,0.954,"202,342"
2,Std,100,1,0.370,0.297,0.308,"304,077"
2,Std,150,1,0.330,0.152,0.598,"155,622"
3,Std,0,1,0.300,0.262,0.269,"268,517"
3,Std,50,1,0.580,0.385,0.699,"394,086"
3,Std,100,1,0.480,0.355,0.127,"363,387"
3,Std,150,1,0.380,0.388,0.446,"397,517"
4,Std,0,1,0.350,0.310,0.163,"317,095"
4,Std,50,1,0.710,0.483,0.904,"494,362"
4,Std,100,1,0.650,0.462,1.006,"472,893"
4,Std,150,1,0.640,0.363,0.396,"371,379"
5,Std,0,1,0.260,0.312,0.088,"319,557"
5,Std,50,1,0.380,0.409,0.643,"418,970"
5,Std,100,1,0.610,0.597,0.621,"611,072"
5,Std,150,1,0.620,0.446,0.356,"457,062"
6,Std,0,1,0.180,0.226,0.071,"231,213"
6,Std,50,1,0.320,0.241,0.662,"246,400"
6,Std,100,1,0.410,0.432,0.825,"441,864"
6,Std,150,1,0.590,0.328,0.557,"335,360"
7,Std,0,1,0.220,0.167,0.000,"170,897"
7,Std,50,1,0.420,0.198,0.456,"202,394"
7,Std,100,1,0.180,0.396,0.850,"405,988"
7,Std,150,1,0.640,0.295,0.471,"302,541"
1,Std,0,0,0.200,0.076,0.216,"77,760"
1,Std,50,0,0.360,0.177,0.727,"181,325"
1,Std,100,0,0.240,0.402,0.281,"411,479"
1,Std,150,0,0.220,0.302,0.692,"309,734"
2,Std,0,0,0.310,0.160,0.729,"163,840"
2,Std,50,0,0.380,0.380,0.974,"389,120"
2,Std,100,0,0.330,0.140,0.398,"143,360"
2,Std,150,0,0.350,0.100,0.759,"102,400"
3,Std,0,0,0.300,0.067,0.581,"68,642"
3,Std,50,0,0.590,0.211,0.775,"216,435"
3,Std,100,0,0.330,0.219,0.440,"224,026"
3,Std,150,0,0.350,0.207,0.543,"212,224"
4,Std,0,0,0.290,0.155,0.420,"158,405"
4,Std,50,0,0.710,0.212,0.958,"217,280"
4,Std,100,0,0.580,0.251,1.068,"256,896"
4,Std,150,0,0.610,0.339,0.432,"346,726"
5,Std,0,0,0.270,0.169,0.128,"172,645"
5,Std,50,0,0.610,0.389,0.645,"398,515"
5,Std,100,0,0.420,0.371,0.671,"380,311"
5,Std,150,0,0.370,0.344,0.381,"352,333"
6,Std,0,0,0.200,0.245,0.168,"250,837"
6,Std,50,0,0.420,0.520,0.678,"532,710"
6,Std,100,0,0.480,0.457,0.838,"467,597"
6,Std,150,0,0.420,0.419,0.574,"429,414"
7,Std,0,0,0.140,0.216,0.047,"220,774"
7,Std,50,0,0.250,0.288,0.463,"295,296"
7,Std,100,0,0.420,0.299,0.941,"306,566"
7,Std,150,0,0.420,0.377,0.495,"385,690"
1,10%CS,0,0,0.370,0.207,0.290,"211,780"
1,10%CS,50,0,0.400,0.268,0.195,"274,458"
1,10%CS,100,0,0.330,0.231,0.312,"236,178"
1,10%CS,150,0,0.300,0.420,0.290,"429,645"
2,10%CS,0,0,0.460,0.080,0.268,"82,391"
2,10%CS,50,0,0.500,0.161,0.144,"164,659"
2,10%CS,100,0,0.440,0.240,0.363,"245,476"
2,10%CS,150,0,0.420,0.493,0.736,"504,704"
3,10%CS,0,0,0.480,0.180,0.637,"184,320"
3,10%CS,50,0,0.680,0.080,0.092,"81,920"
3,10%CS,100,0,0.520,0.090,0.480,"92,160"
3,10%CS,150,0,0.480,0.090,0.601,"92,160"
4,10%CS,0,0,0.380,0.220,0.695,"225,280"
4,10%CS,50,0,0.440,0.110,0.956,"112,640"
4,10%CS,100,0,0.630,0.120,1.073,"122,880"
4,10%CS,150,0,0.610,0.150,0.690,"153,600"
5,10%CS,0,0,0.180,0.290,0.313,"296,960"
5,10%CS,50,0,0.350,0.240,0.350,"245,760"
5,10%CS,100,0,0.660,0.420,1.011,"430,080"
5,10%CS,150,0,0.490,0.390,0.512,"399,360"
6,10%CS,0,0,0.180,0.330,0.163,"337,920"
6,10%CS,50,0,0.230,0.830,0.612,"849,920"
6,10%CS,100,0,0.580,0.340,0.909,"348,160"
6,10%CS,150,0,0.370,0.400,0.672,"409,600"
7,10%CS,0,0,0.130,0.390,0.105,"399,360"
7,10%CS,50,0,0.190,0.780,0.578,"798,720"
7,10%CS,100,0,0.380,0.600,0.743,"614,400"
7,10%CS,150,0,0.180,0.480,0.607,"491,520"
1,Std,0,0,0.180,0.270,0.109,"276,480"
1,Std,50,0,0.300,0.540,0.678,"552,960"
1,Std,100,0,0.280,0.510,0.203,"522,240"
1,Std,150,0,0.260,0.610,0.654,"624,640"
2,Std,0,0,0.280,0.280,0.561,"286,720"
2,Std,50,0,0.440,0.670,1.063,"686,080"
2,Std,100,0,0.400,0.450,0.332,"460,800"
2,Std,150,0,0.370,0.430,0.680,"440,320"
3,Std,0,0,0.280,0.180,0.403,"184,320"
3,Std,50,0,0.520,0.100,0.750,"102,400"
3,Std,100,0,0.420,0.110,0.419,"112,640"
3,Std,150,0,0.400,0.110,0.486,"112,640"
4,Std,0,0,0.220,0.200,0.220,"204,800"
4,Std,50,0,0.680,0.070,0.933,"71,680"
4,Std,100,0,0.560,0.130,1.049,"133,120"
4,Std,150,0,0.580,0.140,0.419,"143,360"
5,Std,0,0,0.280,0.310,0.150,"317,440"
5,Std,50,0,0.320,0.420,0.643,"430,080"
5,Std,100,0,0.340,0.440,0.673,"450,560"
5,Std,150,0,0.480,0.460,0.365,"471,040"
6,Std,0,0,0.180,0.310,0.096,"317,440"
6,Std,50,0,0.320,0.720,0.663,"737,280"
6,Std,100,0,0.320,0.550,0.744,"563,200"
6,Std,150,0,0.220,0.440,0.561,"450,560"
7,Std,0,0,0.120,0.390,0.098,"399,360"
7,Std,50,0,0.180,0.710,0.452,"727,040"
7,Std,100,0,0.320,0.420,0.759,"430,080"
7,Std,150,0,0.330,0.510,0.493,"522,240"
1,10%CS,0,0,0.330,0.250,0.249,"256,000"
1,10%CS,50,0,0.370,0.440,0.190,"450,560"
1,10%CS,100,0,0.290,0.580,0.274,"593,920"
1,10%CS,150,0,0.260,0.450,0.278,"460,800"
2,10%CS,0,0,0.400,0.260,0.213,"266,240"
2,10%CS,50,0,0.450,0.370,0.143,"378,880"
2,10%CS,100,0,0.380,0.360,0.346,"368,640"
2,10%CS,150,0,0.370,0.370,0.688,"378,880"
3,10%CS,0,0,0.440,0.340,0.542,"348,160"
3,10%CS,50,0,0.600,0.380,0.087,"389,120"
3,10%CS,100,0,0.460,0.280,0.305,"286,720"
3,10%CS,150,0,0.420,0.240,0.548,"245,760"
4,10%CS,0,0,0.330,0.420,0.594,"430,080"
4,10%CS,50,0,0.410,0.460,0.882,"471,040"
4,10%CS,100,0,0.580,0.400,1.017,"409,600"
4,10%CS,150,0,0.550,0.380,0.624,"389,120"
5,10%CS,0,0,0.140,0.460,0.186,"471,040"
5,10%CS,50,0,0.290,0.620,0.332,"634,880"
5,10%CS,100,0,0.620,0.460,0.801,"471,040"
5,10%CS,150,0,0.430,0.420,0.505,"430,080"
6,10%CS,0,0,0.140,0.360,0.126,"368,640"
6,10%CS,50,0,0.180,0.440,0.551,"450,560"
6,10%CS,100,0,0.520,0.560,0.772,"573,440"
6,10%CS,150,0,0.100,0.550,0.629,"563,200"
7,10%CS,0,0,0.100,0.280,0.077,"286,720"
7,10%CS,50,0,0.150,0.280,0.536,"286,720"
7,10%CS,100,0,0.320,0.580,0.485,"593,920"
7,10%CS,150,0,0.140,0.430,0.570,"440,320"
1,Std,0,0,0.160,0.140,0.031,"143,360"
1,Std,50,0,0.260,0.200,0.645,"204,800"
1,Std,100,0,0.240,0.530,0.138,"542,720"
1,Std,150,0,0.220,0.320,0.612,"327,680"
2,Std,0,0,0.250,0.050,0.377,"51,200"
2,Std,50,0,0.390,0.140,1.061,"143,360"
2,Std,100,0,0.360,0.330,0.266,"337,920"
2,Std,150,0,0.330,0.100,0.564,"102,400"
3,Std,0,0,0.250,0.150,0.356,"153,600"
3,Std,50,0,0.450,0.280,0.713,"286,720"
3,Std,100,0,0.360,0.250,0.197,"256,000"
3,Std,150,0,0.360,0.220,0.423,"225,280"
4,Std,0,0,0.180,0.270,0.060,"276,480"
4,Std,50,0,0.620,0.380,0.918,"389,120"
4,Std,100,0,0.500,0.350,1.001,"358,400"
4,Std,150,0,0.540,0.330,0.403,"337,920"
5,Std,0,0,0.250,0.240,0.061,"245,760"
5,Std,50,0,0.280,0.480,0.590,"491,520"
5,Std,100,0,0.300,0.350,0.622,"358,400"
5,Std,150,0,0.420,0.330,0.344,"337,920"
6,Std,0,0,0.140,0.200,0.035,"204,800"
6,Std,50,0,0.260,0.620,0.629,"634,880"
6,Std,100,0,0.260,0.480,0.580,"491,520"
6,Std,150,0,0.180,0.500,0.553,"512,000"
7,Std,0,0,0.080,0.240,0.094,"245,760"
7,Std,50,0,0.140,0.280,0.427,"286,720"
7,Std,100,0,0.260,0.520,0.545,"532,480"
7,Std,150,0,0.290,0.290,0.445,"296,960"
1,10%CS,0,0,0.410,0.140,0.330,"143,360"
1,10%CS,50,0,0.430,0.280,0.201,"286,720"
1,10%CS,100,0,0.370,0.280,0.349,"286,720"
1,10%CS,150,0,0.340,0.400,0.301,"409,600"
2,10%CS,0,0,0.530,0.100,0.323,"102,400"
2,10%CS,50,0,0.550,0.170,0.145,"174,080"
2,10%CS,100,0,0.500,0.300,0.380,"307,200"
2,10%CS,150,0,0.480,0.310,0.783,"317,440"
3,10%CS,0,0,0.520,0.040,0.732,"40,960"
3,10%CS,50,0,0.760,0.230,0.098,"235,520"
3,10%CS,100,0,0.520,0.060,0.656,"61,440"
3,10%CS,150,0,0.540,0.100,0.654,"102,400"
4,10%CS,0,0,0.430,0.131,0.795,"133,926"
4,10%CS,50,0,0.470,0.186,1.031,"190,545"
4,10%CS,100,0,0.680,0.205,1.130,"209,994"
4,10%CS,150,0,0.660,0.149,0.757,"152,065"
5,10%CS,0,0,0.220,0.205,0.440,"209,448"
5,10%CS,50,0,0.400,0.370,0.369,"378,411"
5,10%CS,100,0,0.700,0.231,1.220,"236,619"
5,10%CS,150,0,0.550,0.340,0.520,"348,382"
6,10%CS,0,0,0.220,0.269,0.200,"274,991"
6,10%CS,50,0,0.280,0.464,0.673,"475,473"
6,10%CS,100,0,0.640,0.221,1.047,"226,468"
6,10%CS,150,0,0.440,0.354,0.716,"362,538"
7,10%CS,0,0,0.160,0.300,0.133,"306,697"
7,10%CS,50,0,0.230,0.406,0.620,"416,081"
7,10%CS,100,0,0.440,0.586,1.000,"600,418"
7,10%CS,150,0,0.230,0.441,0.644,"452,032"
1,Std,0,0,0.200,0.216,0.187,"221,468"
1,Std,50,0,0.330,0.194,0.710,"198,200"
1,Std,100,0,0.320,0.391,0.268,"400,176"
1,Std,150,0,0.300,0.306,0.695,"313,672"
2,Std,0,0,0.320,0.137,0.745,"140,010"
2,Std,50,0,0.500,0.195,1.064,"199,419"
2,Std,100,0,0.440,0.377,0.397,"386,488"
2,Std,150,0,0.420,0.293,0.796,"299,662"
3,Std,0,0,0.320,0.073,0.451,"75,143"
3,Std,50,0,0.600,0.174,0.786,"178,204"
3,Std,100,0,0.480,0.364,0.641,"373,086"
3,Std,150,0,0.450,0.299,0.549,"305,684"
4,Std,0,0,0.260,0.120,0.380,"122,880"
4,Std,50,0,0.740,0.320,0.948,"327,680"
4,Std,100,0,0.620,0.100,1.097,"102,400"
4,Std,150,0,0.620,0.140,0.436,"143,360"
5,Std,0,0,0.310,0.065,0.239,"67,029"
5,Std,50,0,0.360,0.208,0.695,"212,509"
5,Std,100,0,0.380,0.171,0.724,"175,252"
5,Std,150,0,0.540,0.205,0.385,"210,133"
6,Std,0,0,0.220,0.133,0.157,"136,497"
6,Std,50,0,0.380,0.205,0.698,"210,281"
6,Std,100,0,0.380,0.144,0.909,"147,937"
6,Std,150,0,0.260,0.326,0.569,"334,264"
7,Std,0,0,0.160,0.158,0.101,"162,167"
7,Std,50,0,0.220,0.378,0.476,"387,443"
7,Std,100,0,0.380,0.148,0.974,"151,217"
7,Std,150,0,0.370,0.336,0.540,"344,202"
0,10%CS,0,1,0.080,0.080,0.160,"81,920"
0,10%CS,50,1,0.280,0.280,0.380,"286,720"
0,10%CS,100,1,0.100,0.100,0.140,"102,400"
0,10%CS,150,1,0.140,0.140,0.100,"143,360"
1,10%CS,0,1,0.280,0.195,0.372,"200,138"
1,10%CS,50,1,0.480,0.288,0.710,"294,657"
1,10%CS,100,1,0.340,0.274,0.258,"280,987"
1,10%CS,150,1,0.360,0.364,0.542,"372,413"
2,10%CS,0,1,0.300,0.123,0.510,"125,855"
2,10%CS,50,1,0.480,0.260,0.672,"266,223"
2,10%CS,100,1,0.350,0.224,0.336,"229,316"
2,10%CS,150,1,0.380,0.411,0.706,"421,046"
3,10%CS,0,1,0.370,0.035,0.399,"36,306"
3,10%CS,50,1,0.600,0.157,0.590,"161,148"
3,10%CS,100,1,0.590,0.161,0.376,"165,071"
3,10%CS,150,1,0.500,0.481,0.559,"492,841"
4,10%CS,0,1,0.340,0.220,0.460,"225,280"
4,10%CS,50,1,0.800,0.160,0.927,"163,840"
4,10%CS,100,1,0.520,0.170,1.084,"174,080"
4,10%CS,150,1,0.500,0.170,0.489,"174,080"
5,10%CS,0,1,0.330,0.300,0.188,"307,200"
5,10%CS,50,1,0.580,0.170,0.480,"174,080"
5,10%CS,100,1,0.500,0.240,0.622,"245,760"
5,10%CS,150,1,0.430,0.250,0.380,"256,000"
6,10%CS,0,1,0.220,0.370,0.127,"378,880"
6,10%CS,50,1,0.500,0.480,0.419,"491,520"
6,10%CS,100,1,0.560,0.520,0.611,"532,480"
6,10%CS,150,1,0.600,0.510,0.574,"522,240"
7,10%CS,0,1,0.120,0.430,0.070,"440,320"
7,10%CS,50,1,0.570,0.970,0.386,"993,280"
7,10%CS,100,1,0.600,0.440,0.399,"450,560"
7,10%CS,150,1,0.580,0.600,0.531,"614,400"
0,Std,0,1,0.160,0.470,0.080,"481,280"
0,Std,50,1,0.380,0.920,0.280,"942,080"
0,Std,100,1,0.140,0.800,0.100,"819,200"
0,Std,150,1,0.100,0.610,0.140,"624,640"
1,Std,0,1,0.200,0.350,0.239,"358,400"
1,Std,50,1,0.300,0.660,0.731,"675,840"
1,Std,100,1,0.320,0.710,0.357,"727,040"
1,Std,150,1,0.280,0.510,0.838,"522,240"
2,Std,0,1,0.180,0.360,0.365,"368,640"
2,Std,50,1,0.330,0.830,0.616,"849,920"
2,Std,100,1,0.300,0.630,0.544,"645,120"
2,Std,150,1,0.300,0.580,0.785,"593,920"
3,Std,0,1,0.320,0.220,0.436,"225,280"
3,Std,50,1,0.520,0.180,0.722,"184,320"
3,Std,100,1,0.460,0.190,0.567,"194,560"
3,Std,150,1,0.400,0.190,0.685,"194,560"
4,Std,0,1,0.240,0.280,0.851,"286,720"
4,Std,50,1,0.640,0.130,0.961,"133,120"
4,Std,100,1,0.580,0.270,1.080,"276,480"
4,Std,150,1,0.520,0.290,0.648,"296,960"
5,Std,0,1,0.240,0.370,0.617,"378,880"
5,Std,50,1,0.560,0.600,0.665,"614,400"
5,Std,100,1,0.360,0.520,0.902,"532,480"
5,Std,150,1,0.300,0.540,0.392,"552,960"
6,Std,0,1,0.150,0.370,0.321,"378,880"
6,Std,50,1,0.320,0.940,0.705,"962,560"
6,Std,100,1,0.380,0.650,0.929,"665,600"
6,Std,150,1,0.420,0.580,0.582,"593,920"
7,Std,0,1,0.100,0.470,0.077,"481,280"
7,Std,50,1,0.410,0.950,0.435,"972,800"
7,Std,100,1,0.440,0.620,0.802,"634,880"
7,Std,150,1,0.460,0.610,0.526,"624,640"
0,10%CS,0,1,0.040,0.340,0.120,"348,160"
0,10%CS,50,1,0.230,0.560,0.320,"573,440"
0,10%CS,100,1,0.060,0.710,0.100,"727,040"
0,10%CS,150,1,0.100,0.570,0.140,"583,680"
1,10%CS,0,1,0.230,0.350,0.372,"358,400"
1,10%CS,50,1,0.390,0.550,0.710,"563,200"
1,10%CS,100,1,0.280,0.470,0.258,"481,280"
1,10%CS,150,1,0.310,0.480,0.542,"491,520"
2,10%CS,0,1,0.260,0.420,0.510,"430,080"
2,10%CS,50,1,0.400,0.460,0.672,"471,040"
2,10%CS,100,1,0.290,0.360,0.336,"368,640"
2,10%CS,150,1,0.330,0.320,0.706,"327,680"
3,10%CS,0,1,0.310,0.540,0.399,"552,960"
3,10%CS,50,1,0.520,0.580,0.590,"593,920"
3,10%CS,100,1,0.530,0.500,0.376,"512,000"
3,10%CS,150,1,0.440,0.470,0.559,"481,280"
4,10%CS,0,1,0.290,0.520,0.460,"532,480"
4,10%CS,50,1,0.720,0.740,0.927,"757,760"
4,10%CS,100,1,0.470,0.580,1.084,"593,920"
4,10%CS,150,1,0.540,0.540,0.489,"552,960"
5,10%CS,0,1,0.280,0.450,0.050,"460,800"
5,10%CS,50,1,0.500,0.520,0.450,"532,480"
5,10%CS,100,1,0.450,0.670,0.527,"686,080"
5,10%CS,150,1,0.390,0.650,0.376,"665,600"
6,10%CS,0,1,0.180,0.370,0.089,"378,880"
6,10%CS,50,1,0.440,0.390,0.409,"399,360"
6,10%CS,100,1,0.480,0.680,0.484,"696,320"
6,10%CS,150,1,0.530,0.550,0.543,"563,200"
7,10%CS,0,1,0.080,0.220,0.009,"225,280"
7,10%CS,50,1,0.500,0.280,0.381,"286,720"
7,10%CS,100,1,0.530,0.640,0.322,"655,360"
7,10%CS,150,1,0.520,0.420,0.529,"430,080"
0,Std,0,1,0.120,0.160,0.040,"163,840"
0,Std,50,1,0.320,0.240,0.230,"245,760"
0,Std,100,1,0.100,0.440,0.060,"450,560"
0,Std,150,1,0.140,0.200,0.100,"204,800"
1,Std,0,1,0.160,0.210,0.239,"215,040"
1,Std,50,1,0.240,0.380,0.731,"389,120"
1,Std,100,1,0.260,0.320,0.357,"327,680"
1,Std,150,1,0.220,0.280,0.838,"286,720"
2,Std,0,1,0.140,0.330,0.365,"337,920"
2,Std,50,1,0.280,0.500,0.616,"512,000"
2,Std,100,1,0.240,0.430,0.544,"440,320"
2,Std,150,1,0.240,0.420,0.785,"430,080"
3,Std,0,1,0.260,0.320,0.436,"327,680"
3,Std,50,1,0.460,0.620,0.722,"634,880"
3,Std,100,1,0.380,0.430,0.567,"440,320"
3,Std,150,1,0.340,0.420,0.685,"430,080"
4,Std,0,1,0.180,0.260,0.851,"266,240"
4,Std,50,1,0.550,0.750,0.961,"768,000"
4,Std,100,1,0.500,0.620,1.080,"634,880"
4,Std,150,1,0.510,0.600,0.648,"614,400"
5,Std,0,1,0.190,0.320,0.492,"327,680"
5,Std,50,1,0.480,0.400,0.614,"409,600"
5,Std,100,1,0.330,0.650,0.750,"665,600"
5,Std,150,1,0.250,0.380,0.373,"389,120"
6,Std,0,1,0.110,0.220,0.210,"225,280"
6,Std,50,1,0.260,0.360,0.660,"368,640"
6,Std,100,1,0.320,0.360,0.659,"368,640"
6,Std,150,1,0.380,0.520,0.550,"532,480"
7,Std,0,1,0.080,0.150,0.073,"153,600"
7,Std,50,1,0.350,0.240,0.435,"245,760"
7,Std,100,1,0.360,0.420,0.672,"430,080"
7,Std,150,1,0.400,0.400,0.508,"409,600"
0,10%CS,0,1,0.120,0.120,0.200,"122,880"
0,10%CS,50,1,0.330,0.330,0.440,"337,920"
0,10%CS,100,1,0.140,0.140,0.180,"143,360"
0,10%CS,150,1,0.170,0.170,0.080,"174,080"
1,10%CS,0,1,0.330,0.223,0.372,"228,447"
1,10%CS,50,1,0.570,0.209,0.710,"214,139"
1,10%CS,100,1,0.400,0.389,0.258,"398,159"
1,10%CS,150,1,0.420,0.155,0.542,"159,180"
2,10%CS,0,1,0.330,0.320,0.510,"327,587"
2,10%CS,50,1,0.560,0.400,0.672,"409,762"
2,10%CS,100,1,0.410,0.479,0.336,"490,155"
2,10%CS,150,1,0.430,0.436,0.706,"446,652"
3,10%CS,0,1,0.430,0.351,0.399,"359,199"
3,10%CS,50,1,0.680,0.501,0.590,"513,251"
3,10%CS,100,1,0.650,0.702,0.376,"719,319"
3,10%CS,150,1,0.560,0.371,0.559,"380,220"
4,10%CS,0,1,0.390,0.325,0.460,"332,418"
4,10%CS,50,1,0.870,0.412,0.927,"421,858"
4,10%CS,100,1,0.570,0.607,1.084,"621,726"
4,10%CS,150,1,0.460,0.451,0.489,"462,093"
5,10%CS,0,1,0.380,0.235,0.325,"240,959"
5,10%CS,50,1,0.660,0.288,0.510,"294,600"
5,10%CS,100,1,0.550,0.472,0.716,"483,552"
5,10%CS,150,1,0.480,0.349,0.383,"357,048"
6,10%CS,0,1,0.260,0.197,0.165,"201,783"
6,10%CS,50,1,0.570,0.201,0.429,"205,368"
6,10%CS,100,1,0.640,0.416,0.738,"425,487"
6,10%CS,150,1,0.670,0.298,0.605,"305,420"
7,10%CS,0,1,0.150,0.078,0.131,"80,377"
7,10%CS,50,1,0.650,0.180,0.391,"184,446"
7,10%CS,100,1,0.680,0.439,0.476,"449,873"
7,10%CS,150,1,0.650,0.306,0.532,"313,785"
0,Std,0,1,0.200,0.200,0.120,"204,800"
0,Std,50,1,0.440,0.440,0.330,"450,560"
0,Std,100,1,0.180,0.180,0.140,"184,320"
0,Std,150,1,0.080,0.080,0.170,"81,920"
